Accelerometer,,,
t (msec),Accel x, Accel y, Accel z
1509.73,-1.53,2.45,0.31
1529.75,-1.53,2.45,0.31
1550.28,-1.53,2.45,0.31
1570.53,-1.53,2.45,1.23
1589.71,-0.15,2.45,1.23
1609.73,-0.15,-0.15,1.23
1629.75,-0.15,-0.15,1.23
1650.33,-0.15,-0.15,-3.37
1669.73,-0.15,-0.15,-3.37
1689.73,-0.15,-0.92,-3.37
1709.73,-0.15,-0.92,7.2
1729.75,-0.15,-0.92,7.2
1750.33,-0.15,-0.92,7.2
1769.74,-4.9,-0.77,7.2
1789.74,-4.9,-0.77,19.46
1809.73,-4.9,-0.77,19.46
1829.74,-4.9,-0.77,19.46
1850.34,-4.9,5.36,19.46
1869.76,2.15,5.36,19.46
1889.74,2.15,5.36,19.46
1909.73,2.15,0.61,11.49
1929.73,2.15,0.61,11.49
1950.35,4.29,0.61,11.49
1969.73,4.29,0.61,11.49
1989.73,4.29,9.04,13.79
2009.73,8.58,9.04,13.79
2029.75,8.58,9.04,13.79
2049.79,8.58,9.04,13.79
2069.74,8.58,0.77,10.11
2089.73,-3.22,0.77,10.11
2111.89,-3.22,0.77,10.11
2129.73,-3.22,0.77,10.11
2149.73,-3.06,-4.6,11.34
2169.73,-3.06,-4.6,11.34
2189.73,-3.06,-4.6,11.34
2210.32,-3.06,-4.6,11.34
2229.73,-1.38,-2.15,19.31
2249.73,-1.38,-2.15,19.31
2269.73,-1.38,-2.15,19.31
2289.73,-3.22,0.77,19.31
2310.33,-3.22,0.77,19.31
2329.74,-3.22,0.77,15.02
2349.73,-3.22,0.77,15.02
2369.74,-0.61,0.31,15.02
2389.74,-0.61,0.31,13.18
2410.38,-0.61,0.31,13.18
2429.73,-0.61,0.31,13.18
2449.73,-0.46,0.77,13.18
2469.76,-0.46,0.77,0.31
2489.73,-0.46,0.77,0.31
2510.33,-0.46,0.77,0.31
2529.74,-0.46,0.77,0.31
2549.74,-0.46,1.99,4.75
2570.13,-1.53,1.99,4.75
2589.75,-1.53,1.99,4.75
2610.44,-1.53,1.99,4.75
2629.74,-1.53,-0.46,4.75
2649.74,-0.77,-0.46,4.75
2669.73,-0.77,-0.46,8.27
2690.05,-0.77,1.23,8.27
2710.34,-0.77,1.23,8.27
2729.74,-0.77,1.23,8.27
2749.73,-0.77,1.23,8.12
2769.99,-0.77,1.53,8.12
2790.22,-1.07,1.53,8.12
2810.35,-1.07,1.53,8.12
2829.75,-1.07,1.53,8.12
2849.74,-1.07,1.53,8.12
2869.74,-0.31,1.53,8.12
2889.84,-0.31,0.92,6.74
2910.37,-0.31,0.92,6.74
2929.74,-0.31,0.92,6.74
2949.74,-0.31,0.92,6.74
2969.74,-0.31,0.92,7.35
2989.96,-0.31,0.92,7.35
3011.39,-1.23,0.92,7.35
3029.73,-1.23,0.92,7.35
3049.74,-1.23,0.92,9.5
3069.72,-1.23,0.92,9.5
3090.13,-0.77,0.92,9.5
3110.49,-0.77,1.23,10.73
3129.75,-0.77,1.23,10.73
3149.74,-0.77,1.23,10.73
3169.74,-0.77,1.23,10.73
3190.77,-0.77,1.69,9.65
3210.34,-0.77,1.69,9.65
3229.74,-1.53,1.69,9.65
3249.74,-1.53,1.69,9.65
3270.25,-1.53,1.69,8.43
3289.75,-1.53,1.38,8.43
3310.34,-0.92,1.38,8.43
3329.74,-0.92,1.38,8.43
3349.77,-0.92,1.38,8.73
3369.75,-0.92,1.23,8.73
3389.75,-0.92,1.23,8.73
3410.34,-0.92,1.23,8.73
3429.73,-0.92,1.23,8.43
3449.74,-1.23,1.23,8.43
3469.74,-1.23,1.38,8.43
3489.78,-1.23,1.38,8.43
3510.47,-1.69,1.38,8.43
3529.74,-1.69,1.38,8.43
3549.74,-1.69,0.92,9.81
3570.15,-1.69,0.92,9.81
3589.74,-0.61,0.92,9.81
3610.21,-0.61,0.92,11.65
3629.72,-0.61,0.92,11.65
3649.73,-0.61,0.92,11.65
3669.72,0.46,0.92,11.65
3689.76,0.46,-0.31,11.03
3710.32,0.46,-0.31,11.03
3729.74,0.46,-0.31,11.03
3749.74,0.31,-0.31,11.03
3769.74,0.31,0.15,9.5
3789.77,0.31,0.15,9.5
3810.33,0.31,0.15,9.5
3829.74,0.61,0.15,9.5
3849.73,0.61,0.61,8.12
3869.76,0.61,0.61,8.12
3889.77,0.61,0.61,8.12
3910.32,-0.31,0.61,8.12
3929.73,-0.31,0.46,7.2
3949.74,-0.31,0.46,7.2
3969.73,-0.31,0.46,7.2
3989.75,-0.31,0.46,7.2
4010.33,-0.31,1.53,9.19
4029.74,-0.61,1.53,9.19
4049.73,-0.61,1.53,9.19
4069.73,-0.61,1.53,9.19
4089.74,-0.61,1.53,11.19
4110.31,-0.61,1.53,11.19
4129.73,-0.61,1.53,11.19
4149.73,-0.61,-0.15,11.19
4169.74,-0.61,-0.15,10.42
4189.75,-0.61,-0.15,10.42
4210.3,-0.61,-0.15,10.42
4229.74,-0.92,1.07,10.42
4249.74,-0.92,1.07,9.65
4269.74,-0.92,1.07,9.65
4289.77,-0.92,1.07,9.65
4310.35,-0.61,1.69,9.65
4329.74,-0.61,1.69,9.65
4349.73,-0.61,1.69,9.65
4369.75,-0.61,1.38,8.12
4389.77,-0.61,1.38,8.12
4410.4,-0.31,1.38,8.12
4429.73,-0.31,1.38,8.12
4449.74,-0.31,1.38,7.51
4469.74,-0.61,1.38,7.51
4489.75,-0.61,1.38,7.51
4510.32,-0.61,1.38,7.51
4529.73,-0.61,1.38,8.12
4549.73,-1.38,1.38,8.12
4570.14,-1.38,1.38,8.12
4589.73,-1.38,1.69,8.12
4610.23,-1.38,1.69,9.04
4629.73,-1.38,1.69,9.04
4649.73,-1.38,1.69,9.04
4669.73,-1.38,1.69,10.73
4689.76,-2.15,1.69,10.73
4710.32,-2.15,1.38,10.73
4729.74,-2.15,1.38,10.73
4749.73,-2.15,1.38,10.73
4769.73,-1.53,0.61,10.73
4789.75,-1.53,0.61,10.27
4812.6,-1.53,0.61,10.27
4830.58,-1.53,0.61,10.27
4849.78,-1.07,1.23,10.27
4869.76,-1.07,1.23,10.27
4889.76,-1.07,1.23,10.27
4910.35,-1.07,1.23,10.27
4929.73,-1.07,1.23,9.96
4949.74,-1.07,1.23,9.96
4969.76,-0.15,1.38,9.96
4989.76,-0.15,1.38,9.96
5010.32,-0.15,1.38,8.27
5029.74,-0.15,1.38,8.27
5049.73,-0.15,1.38,8.27
5069.82,-0.15,1.38,8.27
5089.83,-0.15,1.38,8.27
5110.09,-0.15,1.38,7.81
5129.73,-0.15,1.38,7.81
5149.75,-0.15,1.38,7.81
5169.74,-0.61,1.38,7.81
5189.75,-0.61,1.38,7.81
5210.33,-0.61,1.38,7.81
5229.75,-0.61,1.23,7.81
5249.74,-0.61,1.23,8.89
5269.73,-0.46,1.23,8.89
5289.74,-0.46,1.23,8.89
5310.32,-0.46,1.23,8.89
5329.74,-0.46,1.07,8.89
5349.73,-0.46,1.07,8.89
5369.76,-0.46,1.07,11.65
5389.77,-0.46,1.07,11.65
5410.35,-0.46,1.07,11.65
5429.73,-0.46,1.23,11.65
5449.74,-1.69,1.23,11.03
5469.73,-1.69,1.23,11.03
5489.76,-1.69,1.23,11.03
5510.35,-1.69,1.23,11.03
5529.74,-2.45,0.77,11.03
5549.74,-2.45,0.77,7.97
5570.15,-2.45,0.77,7.97
5589.75,-2.45,0.77,7.97
5610.38,-2.45,0.77,7.97
5629.74,-2.45,0.77,9.04
5649.73,-0.92,0.77,9.04
5669.71,-0.92,0.77,9.04
5689.73,-0.92,0.77,9.04
5710.29,-0.92,0.77,9.19
5729.73,-0.77,0.77,9.19
5749.73,-0.77,0.77,9.19
5769.72,-0.77,0.77,9.19
5789.77,-0.77,0.92,8.27
5810.36,-1.69,0.92,8.27
5829.74,-1.69,0.92,8.27
5849.75,-1.69,0.92,9.65
5869.76,-1.69,0.92,9.65
5889.77,-2.91,0.92,9.65
5910.34,-2.91,1.38,9.65
5929.73,-2.91,1.38,9.65
5949.74,-2.91,1.38,9.96
5969.73,-0.92,1.53,9.96
5989.75,-0.92,1.53,9.96
6010.31,-0.92,1.53,9.96
6029.74,-0.92,1.53,10.73
6049.73,-0.92,1.53,10.73
6069.73,-0.92,1.53,10.73
6089.75,-0.31,0.46,10.73
6110.31,-0.31,0.46,10.27
6129.73,-0.31,0.46,10.27
6149.74,-0.31,0.46,10.27
6169.73,-0.31,0.46,7.05
6189.76,0.77,0.46,7.05
6209.94,0.77,0.77,7.05
6229.73,0.77,0.77,7.05
6249.73,0.77,0.77,9.65
6269.73,0.77,0.77,9.65
6289.74,0.77,0.77,9.65
6309.94,0.15,0.77,9.65
6329.72,0.15,0.77,9.5
6349.72,0.15,0.77,9.5
6369.75,0.15,0.77,9.5
6389.74,0.15,1.23,9.5
6409.96,1.07,1.23,7.2
6429.73,1.07,1.23,7.2
6449.73,1.07,1.23,7.2
6469.74,1.07,1.23,7.2
6489.75,1.07,1.23,7.2
6511.84,1.07,1.07,7.97
6529.75,1.07,1.07,7.97
6549.73,1.07,1.07,7.97
6570.1,0.92,1.07,4.9
6589.72,0.92,1.07,4.9
6611.73,0.92,1.07,4.9
6629.73,0.92,1.07,4.9
6649.71,0.92,-0.46,3.22
6671.74,0.92,-0.46,3.22
6689.73,0.92,-0.46,3.22
6709.72,0.92,-0.46,3.22
6729.73,2.3,-0.77,3.22
6749.73,2.3,-0.77,3.22
6770.37,2.3,-0.77,3.22
6789.74,2.3,-0.77,3.22
6809.74,1.69,-2.45,8.27
6829.73,1.69,-2.45,8.27
6849.73,1.69,-2.45,8.27
6870.38,5.21,2.6,19.46
6889.75,5.21,2.6,19.46
6909.74,5.21,2.6,19.46
6929.81,5.21,2.6,19.46
6949.78,0.15,-2.6,19.46
6970.12,0.15,-2.6,19.46
6989.74,0.15,-2.6,19.46
7009.73,0.15,4.14,19.46
7029.73,0.15,4.14,19.46
7049.76,0.15,4.14,9.81
7070.36,0.15,4.14,9.81
7089.74,0.15,-0.15,9.81
7109.73,6.28,-0.15,9.81
7129.74,6.28,-0.15,13.48
7149.82,6.28,0.46,13.48
7170.31,6.28,0.46,13.48
7189.73,1.69,0.46,13.48
7209.73,1.69,0.46,14.86
7229.73,1.69,-0.31,14.86
7249.97,-1.53,-0.31,14.86
7270.36,-1.53,-0.31,14.86
7289.74,-1.53,-0.31,10.11
7309.74,-1.53,-0.31,10.11
7329.73,0.46,-0.31,10.11
7350.15,0.46,-0.46,7.05
7370.8,0.46,-0.46,7.05
7389.74,0.46,-0.46,7.05
7409.75,0.77,-0.46,7.05
7429.73,0.77,-0.46,5.82
7449.83,0.77,-0.31,5.82
7470.39,0.77,-0.31,5.82
7489.75,-1.99,-0.31,5.82
7509.74,-1.99,-0.31,5.06
7529.74,-1.99,-1.99,5.06
7549.98,-3.22,-1.99,5.06
7570.32,-3.22,-1.99,5.06
7590.59,-3.22,-1.99,5.67
7609.73,-3.22,1.23,5.67
7629.73,-5.52,1.23,5.67
7650.15,-5.52,1.23,4.44
7670.31,-5.52,1.23,4.44
7689.73,-5.52,-1.53,4.44
7709.74,-5.98,-1.53,4.44
7729.74,-5.98,-1.53,4.6
7750.35,-5.98,-4.6,4.6
7770.36,-7.66,-4.6,4.6
7789.75,-7.66,-4.6,4.6
7809.74,-7.66,-4.6,5.82
7829.74,-7.66,-7.51,5.82
7850.52,-12.41,-7.51,5.82
7871.18,-12.41,-7.51,6.59
7889.74,-12.41,-7.51,6.59
7909.75,-12.41,-6.9,6.59
7929.74,-16.4,-6.9,6.59
7950.74,-16.4,-6.9,4.6
7970.34,-16.4,-1.84,4.6
7989.74,-16.4,-1.84,4.6
8009.74,-16.4,-1.84,4.6
8029.73,-16.4,-1.84,0.92
8049.76,-16.4,-3.52,0.92
8070.33,-9.5,-3.52,0.92
8089.74,-9.5,-3.52,0.92
8109.74,-9.5,-3.52,1.23
8129.73,-9.5,-5.36,1.23
8149.74,-2.3,-5.36,1.23
8170.42,-2.3,-5.36,5.36
8189.73,-2.3,-5.36,5.36
8209.73,-2.3,-4.14,5.36
8229.73,-3.52,-4.14,5.36
8249.75,-3.52,-4.14,5.36
8270.31,-3.52,-8.27,5.36
8289.74,-3.52,-8.27,5.36
8309.74,-6.74,-8.27,-2.6
8329.73,-6.74,-8.27,-2.6
8349.75,-6.74,-8.12,-2.6
8371.13,-9.19,-8.12,2.3
8389.74,-9.19,-8.12,2.3
8409.74,-9.19,-8.12,2.3
8429.73,-9.19,-1.38,2.3
8449.75,-13.18,-1.38,2.3
8470.33,-13.18,-1.38,2.3
8489.74,-13.18,-1.38,-2.91
8509.73,-13.18,-6.59,-2.91
8529.73,-13.18,-6.59,-2.91
8549.75,-10.11,-6.59,-2.91
8570.3,-10.11,-4.6,1.53
8590.56,-10.11,-4.6,1.53
8609.73,-10.11,-4.6,1.53
8629.73,-10.11,-4.6,1.53
8649.74,-7.97,-6.13,3.68
8670.42,-7.97,-6.13,3.68
8689.73,-7.97,-6.13,3.68
8709.73,-7.2,-9.96,-3.98
8729.73,-7.2,-9.96,-3.98
8749.75,-7.2,-9.96,-3.98
8770.37,-7.2,-9.96,-3.98
8789.74,-7.2,-7.2,1.23
8809.74,-7.2,-7.2,1.23
8829.73,-7.2,-7.2,1.23
8849.74,-7.2,-7.2,1.23
8870.35,-11.95,-1.23,0.92
8889.74,-11.95,-1.23,0.92
8909.74,-11.95,-1.23,0.92
8929.73,-9.04,-0.61,-2.3
8949.76,-9.04,-0.61,-2.3
8971.35,-9.04,-0.61,-2.3
8989.75,-9.04,-0.61,-2.3
9009.75,-9.81,-2.91,3.68
9029.73,-9.81,-2.91,3.68
9049.75,-9.81,-2.91,3.68
9071.24,-9.81,-2.91,3.68
9089.74,-6.59,-9.19,-1.69
9109.73,-6.59,-9.19,-1.69
9129.74,-6.59,-9.19,-1.69
9150.32,-6.59,-9.19,-1.69
9170.34,-9.04,-3.98,0.92
9189.74,-9.04,-3.98,0.92
9209.73,-9.04,-3.98,0.92
9230.34,-11.65,-3.98,-0.77
9249.74,-11.65,-3.98,-0.77
9270.32,-11.65,-3.98,-0.77
9289.74,-11.65,-3.98,-0.77
9309.73,-10.88,-4.6,1.07
9329.74,-10.88,-4.6,1.07
9349.74,-10.88,-4.6,1.07
9370.35,-10.88,-4.6,1.07
9389.75,-7.81,-5.36,-0.61
9409.74,-7.81,-5.36,-0.61
9429.74,-7.81,-5.36,-0.61
9449.75,-7.81,-5.36,-0.61
9470.37,-4.75,-8.43,2.15
9490.05,-4.75,-8.43,2.15
9509.74,-4.75,-8.43,2.15
9529.73,-9.35,-4.44,-3.52
9549.75,-9.35,-4.44,-3.52
9571.32,-9.35,-4.44,-3.52
9590.6,-9.35,-4.44,-3.52
9609.73,-11.49,-7.2,0.77
9629.73,-11.49,-7.2,0.77
9649.75,-11.49,-7.2,0.77
9671.21,-11.49,-7.2,0.77
9689.74,-7.05,-7.2,0.77
9709.74,-7.05,-2.91,0.77
9729.73,-7.05,-2.91,0.77
9750.31,-7.05,-2.91,0.77
9770.39,-5.67,-2.91,1.69
9789.74,-5.67,-2.45,1.69
9809.74,-5.67,-2.45,1.69
9830.77,-5.67,-2.45,-2.15
9849.75,-7.81,-2.45,-2.15
9870.36,-7.81,-4.44,-2.15
9889.75,-7.81,-4.44,-2.15
9909.74,-7.81,-4.44,-5.21
9929.73,-3.98,-4.44,-5.21
9949.75,-3.98,-8.89,-5.21
9970.46,-3.98,-8.89,-1.69
9989.79,-3.98,-8.89,-1.69
10009.74,-2.91,-8.89,-1.69
10029.74,-2.91,-13.02,-1.69
10049.76,-2.91,-13.02,-4.6
10070.36,-4.14,-13.02,-4.6
10089.74,-4.14,-13.02,-4.6
10109.73,-4.14,-6.74,-4.6
10129.73,-4.14,-6.74,-6.9
10149.75,-9.5,-6.74,-6.9
10170.3,-9.5,-9.96,-6.9
10189.74,-9.5,-9.96,-6.9
10209.73,-1.69,-9.96,-0.92
10229.74,-1.69,-9.96,-0.92
10249.75,-1.69,-4.44,-0.92
10270.3,-1.69,-4.44,-0.92
10289.75,-3.98,-4.44,-7.2
10309.74,-3.98,-7.81,-7.2
10329.74,-3.98,-7.81,-7.2
10349.75,-3.98,-7.81,-7.2
10370.31,2.3,-7.81,-8.27
10389.76,2.3,-7.81,-8.27
10409.75,2.3,-7.81,-8.27
10429.75,2.3,-7.81,-8.27
10449.78,3.83,-7.81,-3.68
10470.34,3.83,-9.04,-3.68
10489.74,3.83,-9.04,-3.68
10509.74,-1.38,-9.04,-4.29
10529.78,-1.38,-9.04,-4.29
10549.81,-1.38,-9.04,-4.29
10571.02,-1.38,-9.04,-4.29
10590.83,0.31,-9.04,-3.22
10609.73,0.31,-9.04,-3.22
10629.73,0.31,-9.04,-3.22
10649.75,0.31,-9.04,-3.22
10670.61,1.07,-9.04,-4.44
10689.84,1.07,-9.04,-4.44
10709.85,1.07,-9.65,-4.44
10729.8,-0.46,-9.65,-4.44
10749.84,-0.46,-9.65,-5.82
10770.13,-0.46,-9.65,-5.82
10789.83,-0.46,-11.49,-5.82
10809.81,-0.46,-11.49,-5.82
10829.84,-0.15,-11.49,-1.53
10849.84,-0.15,-11.49,-1.53
10870.18,-0.15,-10.88,-1.53
10889.84,-0.15,-10.88,-1.53
10909.77,1.99,-10.88,-0.77
10929.74,1.99,-8.58,-0.77
10949.76,1.99,-8.58,-0.77
10970.55,1.99,-8.58,-0.77
10989.74,0.77,-8.58,1.99
11009.74,0.77,-11.34,1.99
11029.74,0.77,-11.34,1.99
11049.75,0.77,-11.34,1.99
11070.35,-0.92,-11.34,-2.15
11089.74,-0.92,-9.19,-2.15
11109.73,-0.92,-9.19,-2.15
11129.74,-0.92,-9.19,-3.22
11149.74,-0.15,-9.19,-3.22
11170.31,-0.15,-9.35,-3.22
11189.75,-0.15,-9.35,-3.22
11209.74,-0.15,-9.35,-2.6
11229.72,-1.23,-10.73,-2.6
11249.75,-1.23,-10.73,-2.6
11269.88,-1.23,-10.73,-2.6
11289.74,-1.23,-10.73,-1.84
11309.73,-1.07,-9.04,-1.84
11329.74,-1.07,-9.04,-1.84
11349.76,-1.07,-9.04,-1.84
11369.74,-1.07,-9.04,-2.3
11389.74,0.31,-11.65,-2.3
11409.74,0.31,-11.65,-2.3
11430.35,0.31,-11.65,-2.6
11449.74,0.31,-11.65,-2.6
11469.74,-3.52,-9.5,-2.6
11489.74,-3.52,-9.5,-2.6
11509.74,-3.52,-9.5,0.92
11530.37,-3.22,-10.11,0.92
11549.74,-3.22,-10.11,0.92
11569.74,-3.22,-10.11,0.92
11590.15,-3.22,-10.11,-2.15
11609.72,-0.31,-10.27,-2.15
11630.37,-0.31,-10.27,-2.15
11649.75,-0.31,-10.27,-2.15
11669.74,-0.46,-8.89,-2.45
11689.75,-0.46,-8.89,-2.45
11709.75,-0.46,-8.89,-2.45
11730.39,-0.46,-8.89,-2.45
11749.75,-2.6,-9.96,-0.77
11769.75,-2.6,-9.96,-0.77
11789.75,-2.6,-9.96,-0.77
11809.75,-2.6,-9.65,-0.77
11830.36,-2.6,-9.65,-0.77
11849.74,-2.6,-9.65,-3.22
11869.74,-3.22,-9.65,-3.22
11889.74,-3.22,-9.65,-3.22
11909.89,-3.22,-8.58,1.23
11930.35,-3.22,-8.58,1.23
11951.05,-3.37,-8.58,1.23
11969.8,-3.37,-8.58,1.23
11989.74,-3.37,-8.58,-3.37
12010.1,-1.38,-8.58,-3.37
12033.18,-1.38,-8.58,-3.37
12049.75,-1.38,-9.5,-3.37
12069.74,-1.38,-9.5,-0.46
12089.73,-1.38,-9.5,-0.46
12109.74,-2.6,-9.19,-0.46
12131.24,-2.6,-9.19,-0.46
12149.74,-2.6,-9.19,-2.45
12169.74,-2.6,-9.19,-2.45
12189.73,-3.98,-9.19,-2.45
12209.86,-3.98,-9.19,-5.52
12231.22,-3.98,-9.19,-5.52
12249.74,-3.98,-10.73,-5.52
12269.75,-4.29,-10.73,-5.52
12289.73,-4.29,-10.73,-2.45
12310.01,-4.29,-10.42,-2.45
12330.92,-4.29,-10.42,-2.45
12349.74,-4.29,-10.42,-2.45
12369.74,-2.76,-10.42,-0.15
12389.73,-2.76,-9.04,-0.15
12410.18,-2.76,-9.04,-0.15
12430.37,-2.76,-9.04,-0.15
12449.74,-2.45,-9.04,4.14
12469.74,-2.45,-9.96,4.14
12490.37,-2.45,-9.96,4.14
12510.32,-2.45,-9.96,0.31
12530.34,-5.52,-9.96,0.31
12549.75,-5.52,-8.43,0.31
12569.74,-5.52,-8.43,0.31
12590.14,-5.52,-8.43,-2.15
12610.45,-4.6,-8.43,-2.15
12630.27,-4.6,-8.43,-2.15
12649.75,-4.6,-8.43,-2.15
12669.74,-4.6,-9.5,-1.38
12689.74,-3.98,-9.5,-1.38
12710.61,-3.98,-9.5,-1.38
12730.36,-3.98,-9.81,0.92
12749.89,-3.98,-9.81,0.92
12769.74,-3.98,-9.81,0.92
12789.73,-3.98,-9.81,0.92
12810.76,-3.98,-8.73,-0.31
12831.26,-3.98,-8.73,-0.31
12849.76,-3.98,-8.73,-0.31
12869.75,-4.6,-8.73,-0.31
12889.74,-4.6,-8.73,0.15
12909.76,-4.6,-8.73,0.15
12931.24,-4.44,-8.73,0.15
12949.75,-4.44,-9.19,0.15
12969.76,-4.44,-9.19,0.15
12989.74,-4.44,-9.19,-0.61
13009.75,-4.14,-9.19,-0.61
13030.36,-4.14,-9.19,-0.61
13049.74,-4.14,-9.19,-0.61
13069.73,-4.14,-9.19,-0.61
13089.74,-4.14,-9.19,-0.61
13109.74,-4.14,-9.19,-0.61
13130.49,-4.14,-9.19,-0.46
13149.74,-3.68,-9.19,-0.46
13169.74,-3.68,-9.81,-0.46
13189.74,-3.68,-9.81,-0.46
13209.75,-3.68,-9.81,0.15
13230.32,-2.6,-10.42,0.15
13249.74,-2.6,-10.42,0.15
13269.74,-2.6,-10.42,0.15
13289.74,-2.6,-10.42,-6.13
13309.75,-2.6,-9.81,-6.13
13330.43,-1.84,-9.81,-6.13
13349.74,-1.84,-9.81,-6.13
13369.74,-1.84,-8.27,-4.6
13389.76,-1.84,-8.27,-4.6
13409.76,-0.15,-8.27,-4.6
13430.34,-0.15,-8.27,-4.6
13449.75,-0.15,-8.73,0.31
13469.75,-1.84,-8.73,0.31
13489.74,-1.84,-8.73,0.31
13509.77,-1.84,-8.73,0.31
13530.33,-1.84,-8.73,-4.9
13549.74,-2.45,-5.52,-4.9
13569.73,-2.45,-5.52,-4.9
13590.14,-2.45,-5.52,-4.9
13609.74,-2.45,-5.52,-7.05
13630.24,-3.22,-5.52,-7.05
13649.74,-3.22,-9.19,-7.05
13669.74,-3.22,-9.19,-7.05
13689.74,-2.6,-9.19,-3.06
13709.75,-2.6,-9.19,-3.06
13730.46,-2.6,-6.13,-3.06
13749.74,-2.6,-6.13,-3.06
13769.73,-1.99,-6.13,-3.06
13789.74,-1.99,-8.43,-3.06
13809.75,-1.99,-8.43,-1.99
13830.33,-1.99,-8.43,-1.99
13849.74,-4.6,-8.43,-1.99
13869.74,-4.6,-7.51,-1.99
13889.76,-4.6,-7.51,-4.9
13909.77,-4.6,-7.51,-4.9
13930.33,-1.69,-7.51,-4.9
13949.74,-1.69,-5.21,-4.9
13969.73,-1.69,-5.21,-5.06
13989.74,-1.38,-5.21,-5.06
14009.75,-1.38,-5.21,-5.06
14030.35,-1.38,-6.13,-5.06
14049.74,-1.38,-6.13,-8.89
14069.73,-9.04,-6.13,-8.89
14089.74,-9.04,-6.13,-8.89
14109.75,-9.04,-6.13,-8.89
14130.33,-9.04,-4.75,-11.34
14149.75,-11.34,-4.75,-11.34
14169.74,-11.34,-4.75,-11.34
14189.74,-11.34,-2.15,-9.96
14209.75,-11.34,-2.15,-9.96
14230.33,-7.05,-2.15,-9.96
14249.74,-7.05,-2.15,-9.96
14269.74,-7.05,1.38,-9.35
14289.73,-2.6,1.38,-9.35
14309.75,-2.6,1.38,-9.35
14330.32,-2.6,1.38,-9.35
14349.74,-2.6,-1.84,-9.04
14369.74,-5.21,-1.84,-9.04
14389.76,-5.21,-1.84,-9.04
14409.76,-5.21,-1.84,-9.04
14430.35,-5.21,-3.68,-7.97
14449.74,-5.82,-3.68,-7.97
14469.73,-5.82,-3.68,-7.97
14489.74,-5.82,-1.69,-8.73
14509.75,-5.82,-1.69,-8.73
14530.32,-5.82,-1.69,-8.73
14549.74,-5.06,-1.69,-8.73
14569.73,-5.06,-0.77,-9.35
14590.15,-5.06,-0.77,-9.35
14609.73,-5.06,-0.77,-9.35
14630.24,-4.75,-0.15,-9.35
14649.74,-4.75,-0.15,-9.35
14669.74,-4.75,-0.15,-9.35
14689.73,-4.75,-0.15,-9.35
14709.75,-4.75,-0.15,-9.35
14730.34,-4.75,-0.15,-9.19
14749.74,-4.75,-0.15,-9.19
14769.73,-4.75,-0.46,-9.19
14789.74,-4.29,-0.46,-9.19
14809.76,-4.29,-0.46,-9.04
14832.62,-4.29,-0.46,-9.04
14850.36,-4.29,-0.46,-9.04
14869.79,-4.44,-0.46,-9.04
14889.76,-4.44,-0.46,-9.04
14909.75,-4.44,-0.46,-9.04
14930.3,-4.44,-0.46,-9.04
14949.73,-4.44,-0.46,-9.04
